Risk ID,Hazard & Scenario,Phase,Pre-Control Likelihood,Pre-Control Severity,Pre-Control Risk Level,Governing Regulations & Standards,Preventative Controls,Mitigative Controls,Critical Control Verification (CCV) Methods,Residual Likelihood,Residual Severity,Residual Risk Level,,
TS-01,Pneumatic or Hydrostatic Pressure Testing Rupture - Catastrophic failure under test pressure creating projectiles,Pre-commissioning,3,4,HIGH (12),Technical Safety BC; WorkSafeBC OHS Reg Parts 10 & 23; ASME B31.3; CSA Z662,1. Exclusion boundaries based on stored energy. 2. Remote testing outside exclusion zones. 3. Maximize hydrotests; restrict pneumatics.,1. Whipchecks and restraints on manifolds. 2. Unobstructed emergency egress.,Inspect hydrotest boundary barriers and verify transducer calibration certs (Pre-test by Test Engineer).,2,4,MEDIUM (8),,
ENV-01,Underwater Acoustic / Marine Mammal Disturbance - Marine operations exceed noise limits violating certificates,Commissioning & Startup,4,3,HIGH (12),BCEAO EA Condition 16; Fisheries Act (DFO); Squamish Nation SNEAA,1. Vessel speed limits (max 10 knots). 2. Marine Mammal Observers on terminal during docking. 3. Restrict thruster usage.,1. Implement 'Stop Work' protocol if mammal enters safety zone.,Audit vessel speed logs and verify Marine Mammal Observer watch logs (Weekly by Environmental Lead).,2,3,MEDIUM (6),,
ENV-02,Excessive Flaring / Air Emission Violations - Startup trips cause high-volume flaring violating air permits,Startup,4,3,HIGH (12),BC Environmental Management Act; BCEAO; Squamish Nation SNEAA,1. Flare Minimization Plan. 2. Nitrogen/gas mixtures during cooling. 3. Keep local stakeholders/Nation informed.,1. High-efficiency flare tips with steam/air assist.,Monitor flare flow meters in DCS and verify community notification logs (Daily by Environmental Supervisor).,2,3,MEDIUM (6),,
OPS-01,Operational Competency & Familiarity Gaps - Operator fails to react to startup anomalies causing equipment failure,Transition & Early Ops,3,4,HIGH (12),WorkSafeBC OHS Reg s. 23.3; CSA Z276 Clause 11.2,"1. Dynamic simulator training (OTS) for shift personnel. 2. Shadowing experienced commissioning engineers. 3. Complete, approved SOPs.",1. Stage vendor specialists on-site. 2. Enforce fatigue management policy.,Audit Control Room Operator simulator certification records and verify shift fatigue logs (Monthly by Operations Director).,2,4,MEDIUM (8),,
OPS-02,Thermal Shock & Cryogenic Piping Fatigue - Rapid cooldown causes extreme thermal shock bowing/cracking piping,Initial & Continuous Ops,3,5,CRITICAL (15),BCER LNG Facility Reg; CSA Z276 Clause 11.5; ASME B31.3,1. Enforce cooldown rate limits (max 10C/hr) via skin thermocouples. 2. Check spring hangers/pipe supports for contraction room. 3. DCS interlocks to shut off feed if rate exceeded.,1. Install gas-leak sensors beneath insulated flanges. 2. Pre-stage valves with remote ESD capability.,Review DCS skin thermocouple temperature logs and verify spring hanger contraction room (Shiftly / Daily by Field Operator).,1,5,MEDIUM (5),,
OPS-03,Corrosion Under Insulation (CUI) Failure - Ingress of moisture under insulation causing pipe wall thinning and blowout,Continuous Operations,3,4,HIGH (12),BCER LNG Facility Reg; CSA Z276 Clause 11.5.1; API 570,1. CUI Inspection Program using non-destructive testing (pulsed eddy current). 2. Coating specs before insulation. 3. Weather-proof cladding seals.,1. Stage emergency clamp repair kits and repair crews. 2. Configure redundant process trains for isolation.,Perform pulsed eddy current/profile radiography inspections and audit CUI registry (Annual by Inspection Engineer).,1,4,LOW (4),,
REG-01,Regulatory Delay / Leave to Open (LTO) Denial - Operational delays due to missing/incomplete safety records,Transition,3,4,HIGH (12),BCER ERAA s. 25; BCEAO; Squamish Nation SNEAA,1. Regulatory Compliance Matrix tracking all 25 prov / 51 fed conditions. 2. Continuous compilation of QA/QC/PSSR packs. 3. Bi-weekly alignment meetings.,1. Phased Leave to Open (LTO) submissions.,Audit Provincial/Federal Compliance Matrix status and QA/QC document pack reviews (Bi-weekly by Regulatory Manager).,2,4,MEDIUM (8),,
LIFT-01,SIMOPS Critical Lifting Operations / Rigging Failure - Rigging failure or crane tip-over during modular lifts strikes personnel or live process systems,Commissioning & Transition,3,5,CRITICAL (15),WorkSafeBC OHS Reg Part 14; CSA Z150; IOGP Life-Saving Rules,1. PE-stamped Critical Lift Plan for loads >75% crane capacity or lifting over live equipment. 2. 100% verification of rigging gear certifications before mobilization.,1. Physical barricading of lift zones (Red Zone) to prevent line-of-fire exposure. 2. Mandatory Stop Work if wind speeds exceed site crane limits.,Verify PE-stamped critical lift plans and check crane rigging certificates (Pre-lift by Rigging Supervisor).,1,5,MEDIUM (5),,
VEH-01,Mobile Equipment & Site Vehicle Collisions - Collision between mobile equipment/vehicles and pedestrians or rollover in tight zones,Transition & Continuous Operations,3,4,HIGH (12),WorkSafeBC OHS Reg Part 16; IOGP Life-Saving Rules,1. Physically separated pedestrian walkways using concrete barriers. 2. Enforced site speed limit of 15 km/h with vehicle GPS monitoring.,1. Roll-over protective structures (ROPS) on all heavy equipment. 2. Dedicated traffic controllers (spotters) for backing operations.,Verify mobile equipment GPS speed compliance records and check pedestrian barrier integrity (Weekly by HSE Specialist).,1,4,LOW (4),,
OPS-CRIT-01,Rapid Phase Transition (RPT) / Cryogenic Spill on Water - LNG spill onto seawater during loading/transit triggers physical explosion due to rapid boiling,Continuous Operations,3,5,CRITICAL (15),BC Energy Regulator (BCER) LNG Facility Regulation; CSA Z276 Clause 11; Transport Canada Marine Safety,1. Quick-release Emergency Release Systems (ERS) on loading arms with automatic dry-break couplers. 2. Structural containment barriers (drip trays) to prevent LNG from reaching seawater splash zone.,1. Automated seawater thermal barrier spray systems. 2. Maintain 100% active marine exclusion zone.,Functional loop test of loading arm ERS and check seawater curtain thermal barrier flow (Pre-loading by Terminal Supervisor).,1,5,MEDIUM (5),,
OPS-CRIT-02,BLEVE of Refrigerant Storage (Boiling Liquid Expanding Vapor Explosion) - External fire exposure to pressurized refrigerant vessels leads to vessel shell failure and catastrophic rupture,Continuous Operations,3,5,CRITICAL (15),BCER LNG Facility Regulation; CSA Z276 Clause 10; Technical Safety BC,1. Apply certified passive fireproofing (PFP) insulation to vessel supports. 2. Double-barrier process control loops on vessel level and pressure.,1. Automatic High-Volume Water Deluge cooling systems. 2. Remote-actuated emergency depressurization (blowdown) systems.,Verify passive fireproofing (PFP) thickness coating checks and test automatic vessel deluge loops (Annual by Maintenance Inspector).,1,5,MEDIUM (5),,
OPS-CRIT-03,LNG Storage Tank Rollover - Stratification/layering of LNG of different densities/temperatures leads to sudden mixing and massive boil-off overpressurizing tank,Continuous Operations,2,5,HIGH (10),CSA Z276 Clause 7; NFPA 59A,1. Dual-nozzle filling systems (top and bottom filling) to promote continuous mixing. 2. Multi-point density and temperature profiling system (LTMS) at 1m intervals.,1. Automatic Boil-Off Gas (BOG) compressor override systems. 2. Pre-program emergency gas-to-flare routing if pressures exceed limits.,Verify DCS tank density/temperature profile tracking and BOG compressor interlocks (Shiftly by Control Room Operator).,1,5,MEDIUM (5),,
OPS-CRIT-04,Cryogenic Embrittlement & Structural Collapse - Cryogenic liquid leak contacts carbon steel structural supports causing immediate cold embrittlement and collapse,Continuous Operations,3,5,CRITICAL (15),CSA Z276 Clause 5; ASME B31.3,1. Clad critical carbon steel support members with Cryogenic Spill Protection (CSP) epoxy. 2. Install engineered cryogenic deflection shields and drip trays.,1. Install low-temperature fiber-optic leak detection loops. 2. Maintain rapid-isolation ESD valves.,Perform fiber-optic leak detection loop testing and inspect drip tray integrity (Monthly by Asset Integrity Tech).,1,5,MEDIUM (5),,
OPS-CRIT-05,Process Alarm Flooding & Operator Cognitive Overload - DCS floods operators with hundreds of alarms in minutes during process upsets causing them to miss critical warnings,Continuous Operations,4,4,CRITICAL (16),CSA Z276 Clause 11.2; ISA-18.2,1. Enforce strict Alarm Rationalization Program in accordance with ISA-18.2. 2. Implement dynamic alarm suppression/shelving during major trips.,1. Deploy High-Performance HMI design. 2. Set up automated safety-instrumented shutdown systems (SIS).,Perform alarm rate auditing and test dynamic alarm suppression logic (Quarterly by Automation Engineer).,2,4,MEDIUM (8),,
OPS-CRIT-06,Hydrate / Ice Plug Formation & Piping Rupture - Moisture ingress into dry gas/cryogenic piping forms ice/hydrate plugs causing local blockage and piping rupture,Continuous Operations,3,4,HIGH (12),CSA Z276 Clause 11.5; ASME B31.3,1. Maintain continuous moisture analyzer monitoring on dry gas feed loop. 2. Run regular regeneration cycles on molecular sieve dehydration beds.,"1. Pre-stage chemical injection ports (methanol/glycol). 2. Mandate slow, controlled depressurization procedures.",Monitor dehydration loop moisture analyzers in DCS and test methanol injection ports (Daily / Shiftly by CRO).,1,4,LOW (4),,
OPS-CRIT-07,Turnaround & Shutdown Isolation Failures - Work performed under incorrect/bypassed isolations during turnarounds causes toxic exposure, asphyxiation, or ignition,Continuous Operations (Turnarounds),4,5,CRITICAL (20),WorkSafeBC OHS Reg Part 10; NB OHS Reg 91-191 Sec 239-240,"Conduct turnaround safety audits, double-isolation (DBB) line walkdowns, and verify blind lists (Daily during turnaround by Area Authority).","1. Enforce digitized, software-tracked PTW/LOTO system with physical validation. 2. Mandate double block and bleed (DBB) or blinding of hydrocarbon lines.",1. Require independent third-party verification audits on turnaround isolations. 2. Maintain active safety patrols and gas-testing sweeps.,1,5,MEDIUM (5)
OPS-CRIT-08,Marine Vessel Collision at Jetty - LNG carrier or tug loses propulsion/steering and collides with jetty causing loading arm rupture and gas release,Continuous Operations,3,5,CRITICAL (15),Transport Canada Marine Safety; Canada Shipping Act; TERMPOL,1. Mandate harbor pilots and escort tugs. 2. Install laser docking and jetty-mounted wind/wave monitoring.,1. Quick-Release Hooks (QRHs) with remote release and tension sensors. 2. Automatic ESD trigger upon mooring tension limit breach.,Inspect laser docking system calibration records and check Quick-Release Hook tension monitors (Monthly by Marine Engineer).,1,5,MEDIUM (5),,
